P(Friday|Relationship),P(Museum|Relationship),P(Sick|Relationship),P(WYD|Relationship),P(Bored|Relationship),P(Missed Show|Relationship),P(Oolong Tea|Relationship),P(Lunch|Relationship),P(Common Room|Relationship),P(Party|Relationship),P(Friday|Friendship),P(Museum|Friendship),P(Sick|Friendship),P(WYD|Friendship),P(Bored|Friendship),P(Missed Show|Friendship),P(Oolong Tea|Friendship),P(Lunch|Friendship),P(Common Room|Friendship),P(Party|Friendship),P(Friday|Hookup),P(Museum|Hookup),P(Sick|Hookup),P(WYD|Hookup),P(Bored|Hookup),P(Missed Show|Hookup),P(Oolong Tea|Hookup),P(Lunch|Hookup),P(Common Room|Hookup),P(Party|Hookup),Race,Major,Gender,Sexuality,Age
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[1],[3],2,1,20
0.3181818181818182,0.0,0.0,0.36363636363636365,0.0,0.0,0.0,0.3181818181818182,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.3076923076923077,0.15384615384615385,0.0,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,0.5625,0.0,0.0,0.0,0.0,0.4375,0.0,[4],[3],2,1,20
0.09523809523809523,0.16666666666666666,0.11904761904761904,0.21428571428571427,0.0,0.14285714285714285,0.0,0.0,0.07142857142857142,0.19047619047619047,0.0,0.13333333333333333,0.3,0.0,0.0,0.23333333333333334,0.06666666666666667,0.26666666666666666,0.0,0.0,0.1111111111111111,0.0,0.0,0.3333333333333333,0.25925925925925924,0.0,0.0,0.0,0.14814814814814814,0.14814814814814814,[1],[4],3,4,23
0.0,0.5294117647058824,0.47058823529411764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11940298507462686,0.11940298507462686,0.14925373134328357,0.1044776119402985,0.0,0.13432835820895522,0.13432835820895522,0.13432835820895522,0.0,0.1044776119402985,0.0,0.0,0.0,0.4166666666666667,0.0,0.0,0.0,0.0,0.3333333333333333,0.25,[6],[2],2,4,21
0.18421052631578946,0.2631578947368421,0.18421052631578946,0.0,0.0,0.15789473684210525,0.21052631578947367,0.0,0.0,0.0,0.0,0.0,0.18867924528301888,0.0,0.18867924528301888,0.16981132075471697,0.0,0.18867924528301888,0.1509433962264151,0.11320754716981132,0.6,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,[1],"[1, 2, 4]",2,4,19
0.0,0.0,0.1,0.05,0.0,0.0,0.5,0.0,0.35,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.2564102564102564,0.0,0.2564102564102564,0.0,0.2564102564102564,0.0,0.0,0.0,0.47368421052631576,0.5263157894736842,0.0,0.0,0.0,0.0,0.0,[4],[3],2,1,20
0.2,0.23333333333333334,0.3,0.0,0.0,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.15789473684210525,0.0,0.0,0.18421052631578946,0.07894736842105263,0.0,0.21052631578947367,0.0,0.21052631578947367,0.15789473684210525,[1],[4],1,1,20
0.2564102564102564,0.23076923076923078,0.20512820512820512,0.10256410256410256,0.0,0.20512820512820512,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.17777777777777778,0.0,0.0,0.2,0.2222222222222222,0.17777777777777778,0.0,0.0,0.0,0.0,0.0,0.3125,0.25,0.0,0.0,0.0,0.3125,0.125,[4],[3],1,1,21
0.175,0.1,0.0,0.175,0.0,0.0,0.0,0.125,0.25,0.175,0.0,0.08333333333333333,0.125,0.0,0.08333333333333333,0.16666666666666666,0.14583333333333334,0.20833333333333334,0.0,0.1875,0.21212121212121213,0.0,0.0,0.2727272727272727,0.21212121212121213,0.0,0.0,0.0,0.30303030303030304,0.0,[1],[3],2,4,18
0.11428571428571428,0.17142857142857143,0.22857142857142856,0.0,0.0,0.0,0.22857142857142856,0.0,0.02857142857142857,0.22857142857142856,0.0,0.11764705882352941,0.17647058823529413,0.0,0.0,0.35294117647058826,0.0,0.35294117647058826,0.0,0.0,0.3333333333333333,0.0,0.0,0.125,0.125,0.0,0.0,0.0,0.16666666666666666,0.25,[4],[3],1,1,21
